Código	Descripción	Cantidad	Pendiente	Monto Bruto	Descuentos	I.V.A	Costo	Utilidad	%Util	Existencia
001001	PASTA ALLEGRI LARGA 1KG	500,00	0	25.000,00	0	0	20.000,00	5.000,00	20	1000
001002	PASTA ALLEGRI CORTA PLUMAS	200,00	0	10.000,00	0	0	8.000,00	2.000,00	20	500
004001	PASTA HORIZONTE LARGA 1KG	1.200,00	0	48.000,00	0	0	40.000,00	8.000,00	16	200
001008	PASTICHO ALLEGRI 250GR	50,00	0	5.000,00	0	0	4.000,00	1.000,00	20	100
003001	PASTICHO MI CASA RAPIDO	30,00	0	3.500,00	0	0	3.000,00	500,00	15	80
002001	HARINA DE TRIGO DULCE MAR	100,00	0	4.500,00	0	0	3.500,00	1.000,00	22	150
010005	HARINA JUANA CLASICA	600,00	0	18.000,00	0	0	15.000,00	3.000,00	16	400
010015	HARINA TRIGO ROBIN HOOD	150,00	0	7.500,00	0	0	6.000,00	1.500,00	20	90
010002	AVENA LASSIE HOJUELAS	80,00	0	6.400,00	0	0	5.000,00	1.400,00	21	70
010006	ARROZ MONICA TIPO I	300,00	0	12.000,00	0	0	10.000,00	2.000,00	16	600
010003	ADOBO LA COMADRE COMP	45,00	0	2.250,00	0	0	1.800,00	450,00	20	50
009001	?SERRVICIOS O ITEM SIN EXISTENCIA	-5,00	0	-500,00	0	0	-400,00	-100,00	0	0
999999	REFRESCO COCA COLA 2L	50,00	0	2.500,00	0	0	2.000,00	500,00	20	100
