Código	Descripción	Cantidad	Monto Bruto	Descuentos	I.V.A(16%)	Costo	Utilidad	%Utilidad	
003001	PASTICHO MI CASA RAPIDO 250 GR (E)	264	3.166,08	0,00	0,00	2.283,76	882,32	27,87%	
005001	PASTA LA VENECIANA VERMICELLI 1000GR (E)	4.010	57.531,16	0,00	0,00	50.622,72	6.908,44	12,01%	
005002	PASTA LA VENECIANA CODO 1000GR (E)	3.944	57.659,95	0,00	0,00	51.127,65	6.532,30	11,33%	
005004	PASTA LA VENECIANA PLUMAS 1000GR (E)	5.027	73.165,09	0,00	0,00	65.091,42	8.073,67	11,03%	
005005	PASTA LA VENECIANA DEDAL PEQUEÑO N°1 1000 GR (E)	4.031	59.198,00	0,00	0,00	52.034,44	7.163,56	12,10%	
005006	PASTA LA VENECIANA DEDAL GRANDE N°2  1000 GR (E)	5.172	75.474,94	0,00	0,00	66.991,83	8.483,11	11,24%	
005007	PASTA LA VENECIANA TORNILLO 1000GR (E)	3.996	58.291,89	0,00	0,00	51.502,30	6.789,59	11,65%	
005008	PASTA LA VENECIANA RIGATONI 1000GR (E)	2.855	42.362,82	0,00	0,00	37.075,76	5.287,06	12,48%	
005009	PASTA PRIMAVERA VERMICELLI 1000GR (E)	1.204	13.191,38	0,00	0,00	11.709,19	1.482,19	11,24%	
005010	PASTICHO LA SIRENA DIRECTO AL HORNO 250GR (E)	403	6.931,79	0,00	0,00	5.111,01	1.820,78	26,27%	
005011	PASTAS LINGUINI  SIRENA 1000GR (E)	8	112,16	0,00	0,00	66,11	46,05	41,06%	
005012	PASTA LA VENECIANA CODO PEQUEÑO 1000GR (E)	3.070	44.732,22	0,00	0,00	39.208,02	5.524,20	12,35%	
005013	PASTA LA VENECIANA VERMICELLI 500GR (E)	957	7.265,76	0,00	0,00	6.324,22	941,54	12,96%	
005014	PASTA LA SIRENA FIDEOS 250 GRS (E)	11	125,80	0,00	0,00	0,66	125,14	99,48%	
008002	ACEITE SOYA PORTUMESA 12 X 850 ML (E)	18.854	633.614,41	0,00	0,00	549.678,05	83.936,36	13,25%	
008003	ACEITE DE GIRASOL SOLEMIO 12X850 ML	895	27.744,46	0,00	0,00	21.382,95	6.361,51	22,93%	
008004	ACEITE SOYA PORTUMESA 12 X 485ML (E)	2.122	46.719,35	0,00	0,00	38.748,32	7.971,03	17,06%	
009001	?SERVICIOS O ITEM SIN EXISTENCIA	-24	-1.284,04	0,00	0,00	-120,42	-1.163,62	90,62%	
009002	TOSTONES RAULITO 30 GR. (DOCENAS)	3	15,51	0,00	2,49	25,80	-10,29	-66,34%	
009003	TOSTONES RAULITO 100 GR (DOCENAS)	7	95,57	0,00	15,26	59,64	35,93	37,60%	
009004	ARROZ EL TITAN TIPO II 900 GR. 0,81X24	291	6.217,66	0,00	0,00	3.492,92	2.724,74	43,82%	
009005	ARROZ LA CONQUISTA TIPO I FARDO 20 X 900GR.	301	5.486,14	0,00	0,00	3.485,54	2.000,60	36,47%	
009006	ARROZ EL JAPONEZ EXTRA BLANCO 1KG TIPO 1. 0,96X24	33	835,73	0,00	0,00	450,10	385,63	46,14%	
012001	PURE DE TOMATE PASSATA TOMATODO 12X490 GR	5	127,40	0,00	20,40	92,22	35,18	27,61%	
012002	SALSA NAPOLITANA 12X490 GR	5	127,20	0,00	20,35	83,75	43,45	34,16%	
012003	MAYONESA 24 X 175GR (E)	36	1.164,00	4,62	0,00	757,41	401,97	34,53%	
012004	VINAGRE 24 X 500 ML	24,00	428,94	1,76	68,26	294,80	132,38	30,86%	
012006	SALSA DE AJO 24 X 150 CC	5	87,82	0,00	14,04	64,24	23,58	26,85%	
012007	SALSA INGLESA 24 X 150 CC	5	87,00	0,34	13,86	59,48	27,18	31,24%	
012008	SALSA DE SOYA 24 X 150 CC	5	88,22	0,00	14,11	64,54	23,68	26,84%	
012009	TRIPACK SALSA DE INGREDIENTES 150CC X3X8	17	280,03	0,00	44,81	153,28	126,75	45,26%	
012011	ACEITUNAS ENTERAS 12 X 500 GR (E)	1	25,95	0,00	0,00	18,31	7,64	29,44%	
012015	SALSA DE TOMATE KETCHUP 24 X 397GR	30	941,42	0,00	150,53	716,40	225,02	23,90%	
012016	SALSA DE TOMATE KETCHUP HOT 24 X 397GR	2	62,10	0,00	9,94	21,80	40,30	64,90%	
012017	SALSA PARA CARNE 79 24X380 GR	9	251,39	0,57	40,14	136,06	114,76	45,65%	
012018	PURE DE TOMATE PASSATA TOMATODO 24X 190 GR	8	195,98	0,00	31,38	108,70	87,28	44,54%	
012019	SALSA NAPOLITANA 24 X 190 GR	8	184,65	0,00	29,52	111,53	73,12	39,60%	
012020	VINAGRE 12 X 1000ML	20	275,60	1,31	43,89	193,14	81,15	29,44%	
012021	ALCAPARRAS 24 X 200 GR	2	70,79	0,00	11,33	48,17	22,62	31,95%	
012022	ACEITUNAS RELLENAS C/ PIMENTOS 24X 200GR	2	63,84	0,00	10,21	44,14	19,70	30,86%	
012024	MAYONESA VIDRIO 12 X 445 GR (E)	60	1.651,80	1,94	0,00	1.043,81	606,05	36,69%	
012025	PROM. TOSTADA CLASICABAUDUCCO 36X142GR	7,33	0,00	0,00	0,00	0,00	0,00	0,00%	
012026	MOSTAZA PREMIUM 24 X 185GR	5	147,74	0,00	23,65	110,20	37,54	25,41%	
012027	SALSA BOLOGNESA 24 X 190 GR	8	212,66	0,00	34,01	124,61	88,05	41,40%	
